dst_port,flow_duration,flow_byts_s,flow_pkts_s,bwd_pkts_s,totlen_fwd_pkts,fwd_pkt_len_max,fwd_pkt_len_mean,bwd_pkt_len_max,bwd_pkt_len_min,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,bwd_header_len,flow_iat_mean,flow_iat_max,flow_iat_std,fwd_iat_mean,fwd_iat_std,psh_flag_cnt,ack_flag_cnt,init_fwd_win_byts,init_bwd_win_byts
80,0.004459,53375.19623233908,897.0621215519174,224.26553038797934,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0014863333333333332,0.00405,0.0018204597099511855,0.0022295,0.0022295,0,1,512,64240
80,0.001378,172714.0783744557,2902.7576197387516,725.6894049346879,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00045933333333333335,0.001329,0.0006152724780308496,0.000689,0.000689,0,1,512,64240
80,0.002726,87307.41012472486,1467.3514306676448,366.8378576669112,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009086666666666667,0.002671,0.0012463601227396342,0.001363,0.001363,0,1,512,64240
80,0.001299,183217.85989222478,3079.2917628945343,769.8229407236336,180,60,60.0,58,58,60,58,59.5,0.75,20,0.000433,0.001238,0.0005697654488179033,0.0006495,0.0006495,0,1,512,64240
80,0.00409,58190.70904645477,977.9951100244499,244.49877750611248,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0013633333333333334,0.003931,0.0018167744922129314,0.002045,0.002045,0,1,512,64240
80,0.002716,87628.86597938144,1472.7540500736377,368.1885125184094,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009053333333333334,0.002644,0.0012297743243737402,0.001358,0.001358,0,1,512,64240
80,0.001564,152173.91304347824,2557.544757033248,639.386189258312,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0005213333333333334,0.001472,0.0006732712842697379,0.000782,0.000782,0,1,512,64240
80,0.002812,84637.26884779517,1422.4751066856331,355.6187766714083,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009373333333333334,0.002756,0.0012861947321027595,0.001406,0.001406,0,1,512,64240
80,0.002812,84637.26884779517,1422.4751066856331,355.6187766714083,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0009373333333333334,0.002402,0.0010491143354701092,0.001406,0.001406,0,1,512,64240
80,0.001436,165738.16155988857,2785.515320334262,696.3788300835655,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0004786666666666667,0.001395,0.0006481616739329436,0.000718,0.000718,0,1,512,64240
80,0.001297,183500.38550501157,3084.040092521203,771.0100231303007,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00043233333333333334,0.001268,0.0005910241581826885,0.0006485,0.0006485,0,1,512,64240
80,0.001956,121676.89161554193,2044.989775051125,511.24744376278124,180,60,60.0,58,58,60,58,59.5,0.75,20,0.0006519999999999999,0.001921,0.0008974322629963036,0.000978,0.000978,0,1,512,64240
80,0.00136,175000.0,2941.176470588235,735.2941176470588,180,60,60.0,58,58,60,58,59.5,0.75,20,0.00045333333333333337,0.001291,0.0005929892260591438,0.00068,0.00068,0,1,512,64240
